,index,run_no_true,alpha,lambda,direction,phase_val,akio_alpha_l5_p,akio_alpha_l10_p,akio_alpha_l25_p,akio_alpha_l5_n,akio_alpha_l10_n,akio_alpha_l25_n,nadav_alpha_l5_n,nadav_alpha_l10_n,nadav_alpha_l25_n,nadav_alpha_l5_p,nadav_alpha_l10_p,nadav_alpha_l25_p,chas_alpha_l5_p,chas_alpha_l10_p,chas_alpha_l12_p,chas_alpha_l18_p,chas_alpha_l20_p,chas_alpha_l25_p,chas_alpha_l31_p,chas_alpha_l5_n,chas_alpha_l10_n,chas_alpha_l12_n,chas_alpha_l18_n,chas_alpha_l20_n,chas_alpha_l25_n,chas_alpha_l31_n
0,34,0,67000000.0,18,pull,TF,8.05,1.41,0.69,-1.66,-0.29,-0.15,,,,9.54227350829,1.61666683601,0.791083044016,8.19233365342,1.43309940839,1.07594793962,0.798512699983,0.757728459591,0.713781380867,0.677289717838,8.19233365342,1.43309940839,1.07594793962,0.798512699983,0.757728459591,0.713781380867,0.677289717838
1,72,1,5400000.0,5,pull,TF,2.35,0.42,0.21,-1.98,-0.35,-0.17,,,,2.16041249521,0.36666250747,0.176490647344,1.3499359523,0.236306586348,0.177427757342,0.131696729761,0.124987358577,0.117795123278,0.111964133506,1.3499359523,0.236306586348,0.177427757342,0.131696729761,0.124987358577,0.117795123278,0.111964133506
2,79,2,100000000.0,12,pull,Random_TF,8.77,1.54,0.76,-1.66,-0.29,-0.15,,,,10.3162189938,1.74710794823,0.854616976556,8.9124235909,1.55904925465,1.17050774296,0.86868826901,0.824318224981,0.776503765919,0.736787470281,8.9124235909,1.55904925465,1.17050774296,0.86868826901,0.824318224981,0.776503765919,0.736787470281
3,65,3,4900000.0,18,pull,TF,2.54,0.45,0.22,-1.95,-0.35,-0.17,,,,2.65212677245,0.449378156943,0.219520345191,1.80928194459,0.31664957824,0.237747097293,0.176461317882,0.167464472636,0.157804994053,0.149916472023,1.80928194459,0.31664957824,0.237747097293,0.176461317882,0.167464472636,0.157804994053,0.149916472023
4,37,4,48000000.0,18,pull,TF,5.93,1.04,0.51,-1.66,-0.29,-0.14,,,,7.41982409573,1.25876971241,0.616493554881,6.23717674227,1.09112616672,0.819203546253,0.607975827829,0.576928232715,0.543483686484,0.515753558663,6.23717674227,1.09112616672,0.819203546253,0.607975827829,0.576928232715,0.543483686484,0.515753558663
5,64,5,1200000.0,18,pull,TF,2.38,0.42,0.21,-1.98,-0.35,-0.17,,,,2.22392599857,0.379539225136,0.183537141421,1.41996491687,0.248555424255,0.186623874092,0.138521455271,0.131463371948,0.123895066873,0.117750588709,1.41996491687,0.248555424255,0.186623874092,0.138521455271,0.131463371948,0.123895066873,0.117750588709
6,14,6,381000000.0,18,pull,TF,38.07,6.65,3.27,-1.65,-0.29,-0.15,,,,44.4522528469,7.5120588747,3.68037007719,40.5084434872,7.08545314832,5.31958419472,3.94782866206,3.74611134618,3.52857336983,3.34727159789,40.5084434872,7.08545314832,5.31958419472,3.94782866206,3.74611134618,3.52857336983,3.34727159789
7,38,7,58000000.0,18,pull,TF,7.13,1.25,0.62,-1.66,-0.29,-0.15,,,,8.54304199951,1.4465045758,0.709205026858,7.26857451041,1.27152616639,0.954643051228,0.708489086447,0.672305135751,0.633320170647,0.600967920889,7.26857451041,1.27152616639,0.954643051228,0.708489086447,0.672305135751,0.633320170647,0.600967920889
8,41,8,65000000.0,10,pull,TF,4.6,0.81,0.4,-1.66,-0.3,-0.15,,,,6.12307231409,1.03470674553,0.50719392007,5.01130124328,0.876709781878,0.658225392067,0.488509430099,0.46356647631,0.436706318073,0.414467532395,5.01130124328,0.876709781878,0.658225392067,0.488509430099,0.46356647631,0.436706318073,0.414467532395
9,15,9,434000000.0,18,pull,TF,41.77,7.29,3.59,-1.65,-0.29,-0.15,,,,50.3428239272,8.50749999908,4.16747913166,45.9652230331,8.03989175773,6.03615145038,4.47961269286,4.2507208979,4.00387141518,3.79811892908,45.9652230331,8.03989175773,6.03615145038,4.47961269286,4.2507208979,4.00387141518,3.79811892908
