% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:41
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -0.001                   338.2237326581324
3.0E-5                    -2.5E-5                  -9.99E-4                 338.0543680102414
3.0E-5                    -2.5E-5                  -9.98E-4                 337.8850033623471
3.0E-5                    -2.5E-5                  -9.97E-4                 337.7156387144537
3.0E-5                    -2.5E-5                  -9.96E-4                 337.5462740665618
3.0E-5                    -2.5E-5                  -9.95E-4                 337.3769094186689
3.0E-5                    -2.5E-5                  -9.94E-4                 337.20754477077776
3.0E-5                    -2.5E-5                  -9.93E-4                 337.03818012288446
3.0E-5                    -2.5E-5                  -9.92E-4                 336.86881547499075
3.0E-5                    -2.5E-5                  -9.910000000000001E-4    336.6994508270985
3.0E-5                    -2.5E-5                  -9.9E-4                  336.5300861792034
3.0E-5                    -2.5E-5                  -9.89E-4                 336.3607215313126
3.0E-5                    -2.5E-5                  -9.88E-4                 336.18125194166856
3.0E-5                    -2.5E-5                  -9.87E-4                 336.01305864012073
3.0E-5                    -2.5E-5                  -9.860000000000001E-4    335.8448653385692
3.0E-5                    -2.5E-5                  -9.85E-4                 335.6766720370198
3.0E-5                    -2.5E-5                  -9.84E-4                 335.50847873547013
3.0E-5                    -2.5E-5                  -9.83E-4                 335.34028543391577
3.0E-5                    -2.5E-5                  -9.82E-4                 335.1720921323689
3.0E-5                    -2.5E-5                  -9.81E-4                 335.00389883081846
3.0E-5                    -2.5E-5                  -9.8E-4                  334.8357055292664
3.0E-5                    -2.5E-5                  -9.79E-4                 334.66751222771825
3.0E-5                    -2.5E-5                  -9.78E-4                 334.4993189261688
3.0E-5                    -2.5E-5                  -9.77E-4                 334.3311256246176
3.0E-5                    -2.5E-5                  -9.76E-4                 334.162932323068
3.0E-5                    -2.5E-5                  -9.750000000000001E-4    333.99473902152056
3.0E-5                    -2.5E-5                  -9.74E-4                 333.8265457199686
3.0E-5                    -2.5E-5                  -9.73E-4                 333.658352418419
3.0E-5                    -2.5E-5                  -9.72E-4                 333.49015911686877
3.0E-5                    -2.5E-5                  -9.710000000000001E-4    333.3219658153207
3.0E-5                    -2.5E-5                  -9.7E-4                  333.1537725137714
3.0E-5                    -2.5E-5                  -9.69E-4                 332.9855792122187
3.0E-5                    -2.5E-5                  -9.68E-4                 332.81738591066755
3.0E-5                    -2.5E-5                  -9.67E-4                 332.6491926091178
3.0E-5                    -2.5E-5                  -9.660000000000001E-4    332.48099930756547
3.0E-5                    -2.5E-5                  -9.65E-4                 332.31280600601906
3.0E-5                    -2.5E-5                  -9.64E-4                 332.43732822894157
3.0E-5                    -2.5E-5                  -9.63E-4                 332.2505024745458
3.0E-5                    -2.5E-5                  -9.620000000000001E-4    332.0636767201522
3.0E-5                    -2.5E-5                  -9.61E-4                 331.8768509657546
3.0E-5                    -2.5E-5                  -9.6E-4                  331.6900252113602
3.0E-5                    -2.5E-5                  -9.59E-4                 331.5031994569657
3.0E-5                    -2.5E-5                  -9.58E-4                 331.3163737025696
3.0E-5                    -2.5E-5                  -9.570000000000001E-4    331.12954794817233
3.0E-5                    -2.5E-5                  -9.56E-4                 330.94272219378007
3.0E-5                    -2.5E-5                  -9.55E-4                 330.75589643938486
3.0E-5                    -2.5E-5                  -9.54E-4                 330.56907068498975
3.0E-5                    -2.5E-5                  -9.530000000000001E-4    330.3822449305932
3.0E-5                    -2.5E-5                  -9.52E-4                 330.1954191761989
3.0E-5                    -2.5E-5                  -9.51E-4                 330.00859342180206
3.0E-5                    -2.5E-5                  -9.5E-4                  329.82176766740935
3.0E-5                    -2.5E-5                  -9.49E-4                 329.634941913013
3.0E-5                    -2.5E-5                  -9.480000000000001E-4    329.44811615861744
