% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:37
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -0.001                   -65.51257387691933
3.0E-5                    -2.5E-5                  -9.99E-4                 -65.57036682740188
3.0E-5                    -2.5E-5                  -9.98E-4                 -65.62815977788478
3.0E-5                    -2.5E-5                  -9.97E-4                 -65.68595272836728
3.0E-5                    -2.5E-5                  -9.96E-4                 -65.74374567885013
3.0E-5                    -2.5E-5                  -9.95E-4                 -65.80153862933263
3.0E-5                    -2.5E-5                  -9.94E-4                 -65.85933157981499
3.0E-5                    -2.5E-5                  -9.93E-4                 -65.9171245302978
3.0E-5                    -2.5E-5                  -9.92E-4                 -65.97491748078062
3.0E-5                    -2.5E-5                  -9.910000000000001E-4    -66.03271043126301
3.0E-5                    -2.5E-5                  -9.9E-4                  -66.09050338174606
3.0E-5                    -2.5E-5                  -9.89E-4                 -66.1482963322285
3.0E-5                    -2.5E-5                  -9.88E-4                 -66.24110919141552
3.0E-5                    -2.5E-5                  -9.87E-4                 -66.29890502189619
3.0E-5                    -2.5E-5                  -9.860000000000001E-4    -66.35670085237737
3.0E-5                    -2.5E-5                  -9.85E-4                 -66.41449668285792
3.0E-5                    -2.5E-5                  -9.84E-4                 -66.47229251333903
3.0E-5                    -2.5E-5                  -9.83E-4                 -66.5300883438203
3.0E-5                    -2.5E-5                  -9.82E-4                 -66.58788417430077
3.0E-5                    -2.5E-5                  -9.81E-4                 -66.64568000478167
3.0E-5                    -2.5E-5                  -9.8E-4                  -66.70347583526296
3.0E-5                    -2.5E-5                  -9.79E-4                 -66.76127166574345
3.0E-5                    -2.5E-5                  -9.78E-4                 -66.81906749622466
3.0E-5                    -2.5E-5                  -9.77E-4                 -66.87686332670556
3.0E-5                    -2.5E-5                  -9.76E-4                 -66.93465915718639
3.0E-5                    -2.5E-5                  -9.750000000000001E-4    -66.99245498766696
3.0E-5                    -2.5E-5                  -9.74E-4                 -67.0502508181482
3.0E-5                    -2.5E-5                  -9.73E-4                 -67.10804664862911
3.0E-5                    -2.5E-5                  -9.72E-4                 -67.16584247910995
3.0E-5                    -2.5E-5                  -9.710000000000001E-4    -67.22363830959063
3.0E-5                    -2.5E-5                  -9.7E-4                  -67.28143414007141
3.0E-5                    -2.5E-5                  -9.69E-4                 -67.33922997055286
3.0E-5                    -2.5E-5                  -9.68E-4                 -67.39702580103331
3.0E-5                    -2.5E-5                  -9.67E-4                 -67.45482163151433
3.0E-5                    -2.5E-5                  -9.660000000000001E-4    -67.5126174619958
3.0E-5                    -2.5E-5                  -9.65E-4                 -67.57041329247593
3.0E-5                    -2.5E-5                  -9.64E-4                 -67.50268017428454
3.0E-5                    -2.5E-5                  -9.63E-4                 -67.56832645393533
3.0E-5                    -2.5E-5                  -9.620000000000001E-4    -67.63397273358578
3.0E-5                    -2.5E-5                  -9.61E-4                 -67.69961901323657
3.0E-5                    -2.5E-5                  -9.6E-4                  -67.76526529288707
3.0E-5                    -2.5E-5                  -9.59E-4                 -67.8309115725374
3.0E-5                    -2.5E-5                  -9.58E-4                 -67.89655785218831
3.0E-5                    -2.5E-5                  -9.570000000000001E-4    -67.9622041318392
3.0E-5                    -2.5E-5                  -9.56E-4                 -68.02785041148925
3.0E-5                    -2.5E-5                  -9.55E-4                 -68.09349669113996
3.0E-5                    -2.5E-5                  -9.54E-4                 -68.15914297079058
3.0E-5                    -2.5E-5                  -9.530000000000001E-4    -68.22478925044132
3.0E-5                    -2.5E-5                  -9.52E-4                 -68.29043553009156
3.0E-5                    -2.5E-5                  -9.51E-4                 -68.3560818097426
3.0E-5                    -2.5E-5                  -9.5E-4                  -68.42172808939273
